heuristic_joint_label,ml_joint_label,rows
dwi::dwi,anat::T1w,898
anat::T1w,dwi::dwi,699
localizer::localizer,dwi::dwi,656
dwi::dwi,dwi::dwiParamMap,615
dwi::dwi,localizer::localizer,602
dwi::dwiParamMap,dwi::dwi,545
dwi::dwi,dwi::dwiOtherDerived,441
localizer::localizer,anat::T1w,402
dwi::unknown,dwi::dwi,386
dwi::dwiOtherDerived,dwi::dwi,369
dwi::dwiParamMap,anat::T1w,355
anat::T1w,localizer::localizer,350
dwi::dwi,perf::dsc,338
anat::T1w,dwi::dwiParamMap,327
anat::FLAIR,dwi::dwi,321
dwi::dwi,anat::FLAIR,299
perf::dsc,dwi::dwi,292
localizer::localizer,dwi::dwiParamMap,289
anat::unknown,dwi::dwi,285
dwi::unknown,anat::T1w,260
dwi::dwiParamMap,localizer::localizer,257
dwi::dwiOtherDerived,anat::T1w,233
anat::T1w,dwi::dwiOtherDerived,215
anat::FLAIR,anat::T1w,209
localizer::localizer,dwi::dwiOtherDerived,203
dwi::dwiOtherDerived,localizer::localizer,200
dwi::unknown,dwi::dwiParamMap,191
anat::T1w,anat::FLAIR,190
dwi::dwiOtherDerived,dwi::dwiParamMap,190
anat::T2w,dwi::dwi,187
dwi::dwi,anat::T2w,182
dwi::unknown,localizer::localizer,180
anat::T1w,perf::dsc,180
anat::FLAIR,localizer::localizer,178
unknown::unknown,dwi::dwi,173
anat::unknown,anat::T1w,172
dwi::dwiParamMap,dwi::dwiOtherDerived,171
localizer::localizer,perf::dsc,167
localizer::localizer,anat::FLAIR,151
dwi::dwiParamMap,perf::dsc,141
anat::T2starw,dwi::dwi,140
perf::dsc,anat::T1w,140
anat::FLAIR,dwi::dwiParamMap,138
anat::unknown,localizer::localizer,132
dwi::dwiParamMap,anat::FLAIR,129
dwi::unknown,dwi::dwiOtherDerived,129
perf::dsc,dwi::dwiParamMap,127
anat::T2w,anat::T1w,127
perf::dsc,localizer::localizer,125
anat::T1w,anat::T2w,119
dwi::unknown,perf::dsc,114
unknown::unknown,anat::T1w,113
dwi::dwi,anat::T2starw,112
anat::unknown,dwi::dwiParamMap,109
perf::dce,dwi::dwi,97
anat::FLAIR,dwi::dwiOtherDerived,97
unknown::unknown,dwi::dwiParamMap,94
dwi::dwi,perf::dce,94
dwi::dwiOtherDerived,anat::FLAIR,93
unknown::unknown,localizer::localizer,92
localizer::localizer,anat::T2w,92
anat::T2w,dwi::dwiParamMap,90
dwi::dwiOtherDerived,perf::dsc,89
perf::dsc,dwi::dwiOtherDerived,86
anat::T2w,localizer::localizer,84
